Release.date,Serial_nr,Signal,Length_mm,Weight_kg,Group,Release.site
2014-10-10 00:00:00,A69-9004-481,481,384,0.91,Tarwhine,Artificial Reef
2014-10-10 00:00:00,A69-9004-483,483,389,0.91,Tarwhine,Artificial Reef
2014-10-10 00:00:00,A69-9004-485,485,481,1.67,Bream,Artificial Reef
2014-10-10 00:00:00,A69-9004-489,489,375,0.98,Tarwhine,Natural Reef
2014-11-07 00:00:00,A69-9004-492,492,337,,Bream,Artificial Reef
2014-11-07 00:00:00,A69-9004-493,493,280,,Bream,Artificial Reef
2014-11-07 00:00:00,A69-9004-494,494,264,,Bream,Artificial Reef
2014-11-07 00:00:00,A69-9004-495,495,284,,Bream,Artificial Reef
2014-11-07 00:00:00,A69-9004-496,496,318,,Bream,Artificial Reef
2014-11-07 00:00:00,A69-9004-497,497,311,,Bream,Artificial Reef
2013-09-02 00:00:00,A69-9002-8154,8154,380,1.2,Luderick,Artificial Reef
2013-09-02 00:00:00,A69-9002-8155,8155,380,1.2,Luderick,Artificial Reef
2013-09-02 00:00:00,A69-9002-8162,8162,450,2.3,Luderick,Artificial Reef
2013-09-02 00:00:00,A69-9002-8163,8163,450,2.3,Luderick,Artificial Reef
2014-05-02 00:00:00,A69-9002-10473,10473,451,1.7,Bream,Artificial Reef
2014-05-02 00:00:00,A69-9002-10474,10474,390,1,Bream,Artificial Reef
2014-05-02 00:00:00,A69-9002-10480,10480,469,1.8,Bream,Natural Reef
2014-05-02 00:00:00,A69-9002-10481,10481,400,1.2,Luderick,Natural Reef
