"Station.Name","Latitude","Longitude","Array","Order","Type","Start","Stop","Standard.Name"
"bot_ar",-33.098301,151.61398,"Origin",1,"Hydrophone","2013-09-02 16:10:00","2015-05-04 23:42:55","St.1"
"nr2",-33.08617,151.61078,"Origin",1,"Hydrophone","2013-09-13 18:34:11","2015-04-21 13:40:02","St.2"
"top_ar",-33.092945,151.60931,"Origin",1,"Hydrophone","2013-09-02 15:53:03","2015-04-24 12:50:21","St.3"
"pbah_1",-33.078857,151.59592,"Left1",2,"Hydrophone","2013-09-13 19:12:47","2014-06-29 03:06:02","St.4"
"pbah_2",-33.084831,151.59352,"Left1",2,"Hydrophone","2014-05-03 01:18:26","2015-04-21 12:33:05","St.5"
"pbah_3",-33.101242,151.58852,"Left2",3,"Hydrophone","2013-09-05 05:27:31","2015-05-24 15:53:04","St.6"
"pbah_4",-33.108555,151.58862,"Left2",3,"Hydrophone","2013-10-31 07:45:44","2015-05-04 15:24:54","St.7"
"ps_1",-33.079067,151.57147,"Left3",4,"Hydrophone","2013-09-13 21:12:28","2015-01-17 04:17:33","St.8"
"ps_2",-33.085155,151.56805,"Left3",4,"Hydrophone","2014-05-27 10:54:16","2014-12-03 11:13:01","St.9"
"ps_3",-33.09113,151.56274,"Left3",4,"Hydrophone","2014-05-03 02:57:40","2015-01-17 17:13:25","St.10"
"sum_1",-33.121912,151.564494,"Left4",5,"Hydrophone","2014-05-25 13:32:44","2014-12-01 16:22:19","St.11"
"sum_2",-33.126435,151.566395,"Left4",5,"Hydrophone","2014-07-01 04:25:43","2014-12-24 15:49:19","St.12"
"ps_4",-33.070038,151.55072,"Left5",6,"Hydrophone","2013-09-13 22:06:38","2014-12-20 22:32:20","St.13"
"bon_1",-33.088811,151.535792,"Left6",7,"Hydrophone","2013-10-25 17:45:30","2014-12-25 10:58:55","St.14"
"bon_2",-33.09289,151.54183,"Left6",7,"Hydrophone","2014-05-03 05:14:31","2015-04-21 06:22:17","St.15"
"er_2",-33.096077,151.521809,"Left6",7,"Hydrophone","2013-10-27 00:19:35","2014-12-01 16:22:14","St.16"
"wang",-33.064126,151.597187,"North1",8,"Hydrophone","2014-12-17 11:15:02","2014-12-17 11:15:02","St.17"
"kil",-33.03833333,151.6025,"North2",9,"Hydrophone","2014-12-18 09:21:39","2015-04-09 21:35:15","St.18"
"tor",-33.00305556,151.6027778,"North3",10,"Hydrophone","2015-04-09 08:43:11","2015-04-10 07:01:53","St.19"
"boltp_1",-32.99277778,151.6188889,"North4",11,"Hydrophone","2015-04-09 06:31:00","2015-04-09 06:31:00","St.20"
"coalp_3",-33.03027778,151.631111,"North5",12,"Hydrophone","2015-04-08 08:20:04","2015-04-08 08:20:04","St.21"
"Artificial Reef",NA,NA,"Origin",13,"Release","","","ArtificialReef"
"Natural Reef",NA,NA,"Origin",14,"Release","","","NaturalReef"
